,macro_f1,micro_f1,auc_pr_macro,auc_pr_micro
Task 4 zero-shot (audio -> tags),0.09611338798714797,0.10818012256861177,0.0691394818403358,0.058579388962210814
Task 3 supervised fusion (graph+caption),0.6318491648811895,0.6654684340597619,0.6649457135764881,0.7390967341199184
Supervised GNN-only (audio -> tags),0.14231094282255233,0.17654884074496388,0.09842521564436922,0.11369238687415092
Task 1 supervised BERT (caption -> tags),0.6374993363632985,0.6730941704035874,0.6932112006166371,0.7738066307923508
