,macro_f1,micro_f1,samples_f1,auc_pr_macro,auc_pr_micro,roc_auc_macro
cross-attention (full),0.29287986552423123,0.36733035351483134,0.3313988095238095,0.3304237833072694,0.373123029355529,0.7891201272946209
BERT-only,0.2639912309367642,0.31295843520782396,0.2738928571428571,0.31835145842939766,0.27483599032425826,0.7494367329592178
GNN-only,0.2737134782937423,0.3589116478141241,0.3362678571428572,0.28020585142081406,0.384048575821177,0.8469280563043914
early concat,0.3355400555608899,0.3187788427405041,0.2926488095238095,0.3511579320774052,0.2653992888650704,0.7734537259327606
